Frame	Mem Length	A-CatApicalMean	A-CatApicalSum	A-CatApicalNorm	A-CatApicalVertices	ActinApicalMean	ActinApicalSum	ActinApicalNorm	ActinApicalVertices	ApicalRatio	A-CatMedialMean	A-CatMedialSum	A-CatMedialNorm	A-CatMedialVertices	ActinMedialMean	ActinMedialSum	ActinMedialNorm	ActinMedialVertices	MedialRatio	A-CatBasalMean	A-CatBasalSum	A-CatBasalNorm	A-CatBasalVertices	ActinBasalMean	ActinBasalSum	ActinBasalNorm	ActinBasalVertices	BasalRatio
1	20.815	42.833	4369	2.194	51.024	78.833	3311	2.988	78.833	1.362	51.024	2143	2.614	51.024	78.833	3311	2.988	78.833	1.143	88.619	3722	2.290	88.619	61.881	2599	1.415	61.881	0.618
2	19.780	44.452	3734.000	2.326	48.976	65.262	2741	2.549	65.262	1.096	48.976	2057	2.562	48.976	65.262	2741	2.549	65.262	0.995	77.214	3243.000	2.022	77.214	44.857	1884.000	1.027	44.857	0.508
3	18.668	27.775	2472	1.470	35.762	50.786	2133	2.020	50.786	1.375	35.762	1502	1.892	35.762	50.786	2133	2.020	50.786	1.068	73.810	3100	1.936	73.810	39.571	1662	0.908	39.571	0.469
4	18.200	35.010	3361	1.755	43.690	48.333	2030	1.801	48.333	1.026	43.690	1835	2.190	43.690	48.333	2030	1.801	48.333	0.822	86.857	3648	2.226	86.857	45.071	1893	1.046	45.071	0.470
5	15.403	31.145	2367	1.596	28.262	48.881	2053	1.881	48.881	1.179	28.262	1187	1.448	28.262	48.881	2053	1.881	48.881	1.299	75.714	3180.000	1.959	75.714	37.976	1595	0.878	37.976	0.448
6	16.621	29.556	2394	1.557	29.786	40.286	1692	1.600	40.286	1.027	29.786	1251	1.569	29.786	40.286	1692	1.600	40.286	1.019	82.238	3454	2.143	82.238	39.500	1659	0.921	39.500	0.430
7	15.508	36.853	2764	1.868	34.214	48.286	2028	1.856	48.286	0.993	34.214	1437	1.734	34.214	48.286	2028	1.856	48.286	1.070	90.238	3790	2.327	90.238	55.571	2334	1.298	55.571	0.558
8	14.577	24.500	1617	1.298	42.381	53.119	2231	2.143	53.119	1.650	42.381	1780	2.246	42.381	53.119	2231	2.143	53.119	0.954	93.190	3914	2.433	93.190	54.595	2293	1.269	54.595	0.522
9	12.093	39.436	2169	2.142	32.762	51.238	2152	2.111	51.238	0.986	32.762	1376	1.779	32.762	51.238	2152	2.111	51.238	1.187	74.905	3146.000	1.968	74.905	53.619	2252	1.249	53.619	0.635
10	14.916	36.732	2608	2.006	32.238	38.048	1598.000	1.567	38.048	0.781	32.238	1354	1.760	32.238	38.048	1598.000	1.567	38.048	0.890	81.167	3409	2.170	81.167	44.238	1858	1.030	44.238	0.475
11	14.116	41.143	2592	2.172	37.738	44.071	1851	1.741	44.071	0.801	37.738	1585	1.992	37.738	44.071	1851	1.741	44.071	0.874	76.929	3231	2.030	76.929	55.190	2318	1.280	55.190	0.631
12	12.021	29.947	1707	1.685	35.452	48.952	2056	2.082	48.952	1.236	35.452	1489.000	1.995	35.452	48.952	2056	2.082	48.952	1.044	75.952	3190	2.040	75.952	56.690	2381	1.313	56.690	0.643
13	13.038	39.831	2589	2.316	41.143	44.881	1885	1.981	44.881	0.855	41.143	1728.000	2.393	41.143	44.881	1885	1.981	44.881	0.828	94.024	3949	2.565	94.024	60.143	2526	1.397	60.143	0.545
