Frame	Mem Length	A-CatApicalMean	A-CatApicalSum	A-CatApicalNorm	A-CatApicalVertices	ActinApicalMean	ActinApicalSum	ActinApicalNorm	ActinApicalVertices	ApicalRatio	A-CatMedialMean	A-CatMedialSum	A-CatMedialNorm	A-CatMedialVertices	ActinMedialMean	ActinMedialSum	ActinMedialNorm	ActinMedialVertices	MedialRatio	A-CatBasalMean	A-CatBasalSum	A-CatBasalNorm	A-CatBasalVertices	ActinBasalMean	ActinBasalSum	ActinBasalNorm	ActinBasalVertices	BasalRatio
1	14.921	33.636	2590.000	1.723	47.667	43.690	1835	1.656	43.690	0.961	47.667	2002	2.442	47.667	43.690	1835	1.656	43.690	0.678	62.119	2609	1.605	62.119	28.690	1205	0.656	28.690	0.409
2	24.219	33.243	3690	1.739	42.095	40.143	1686.000	1.568	40.143	0.902	42.095	1768	2.202	42.095	40.143	1686.000	1.568	40.143	0.712	72.071	3027	1.887	72.071	28.905	1214	0.662	28.905	0.351
3	23.384	33.551	3959.000	1.775	35.262	40.786	1713	1.622	40.786	0.914	35.262	1481	1.866	35.262	40.786	1713	1.622	40.786	0.870	77.571	3258	2.034	77.571	24.976	1049	0.573	24.976	0.282
4	18.500	34.326	3261	1.721	49.595	57.952	2434	2.159	57.952	1.255	49.595	2083	2.486	49.595	57.952	2434	2.159	57.952	0.868	83.976	3527	2.153	83.976	28.619	1202	0.664	28.619	0.309
5	18.359	32.319	3038.000	1.656	28.952	40.286	1692	1.550	40.286	0.936	28.952	1216	1.483	28.952	40.286	1692	1.550	40.286	1.045	89.952	3778	2.328	89.952	37.238	1564	0.861	37.238	0.370
6	15.768	34.319	2471	1.808	39.143	42.643	1791.000	1.693	42.643	0.936	39.143	1644.000	2.063	39.143	42.643	1791.000	1.693	42.643	0.821	88.905	3734.000	2.317	88.905	32.595	1369	0.760	32.595	0.328
7	19.514	28.733	2586	1.456	35.810	47.571	1998	1.828	47.571	1.255	35.810	1504	1.815	35.810	47.571	1998	1.828	47.571	1.007	77.714	3264.000	2.004	77.714	37.714	1584	0.881	37.714	0.440
8	18.002	40.411	3637	2.142	52.429	54.976	2309	2.218	54.976	1.035	52.429	2202	2.778	52.429	54.976	2309	2.218	54.976	0.798	74.048	3110	1.933	74.048	34.619	1454	0.805	34.619	0.416
9	16.797	37.857	3180.000	2.056	44.190	41.333	1736	1.703	41.333	0.829	44.190	1856	2.400	44.190	41.333	1736	1.703	41.333	0.710	92.571	3888	2.433	92.571	32.929	1383	0.767	32.929	0.315
10	17.250	32.478	2923.000	1.773	39.667	48.810	2050	2.011	48.810	1.134	39.667	1666	2.166	39.667	48.810	2050	2.011	48.810	0.928	64.571	2712	1.726	64.571	28.119	1181	0.655	28.119	0.379
11	18.527	25.798	2425	1.362	33.452	45.905	1928	1.813	45.905	1.331	33.452	1405.000	1.766	33.452	45.905	1928	1.813	45.905	1.027	92.476	3884	2.440	92.476	27.690	1163	0.642	27.690	0.263
12	17.529	29.347	2113	1.651	22.786	39.762	1670	1.691	39.762	1.024	22.786	957	1.282	22.786	39.762	1670	1.691	39.762	1.319	71.429	3000	1.919	71.429	23.548	989	0.545	23.548	0.284
13	20.289	31.624	2941	1.839	45.452	32.238	1354	1.423	32.238	0.774	45.452	1909.000	2.643	45.452	32.238	1354	1.423	32.238	0.538	63.643	2673	1.736	63.643	28.024	1177	0.651	28.024	0.375
14	18.507	31.482	2613	1.792	28.643	38.405	1613	1.661	38.405	0.927	28.643	1203	1.630	28.643	38.405	1613	1.661	38.405	1.019	78.238	3286	2.142	78.238	29.762	1250	0.696	29.762	0.325
