Frame	Mem Length	A-CatApicalMean	A-CatApicalSum	A-CatApicalNorm	A-CatApicalVertices	ActinApicalMean	ActinApicalSum	ActinApicalNorm	ActinApicalVertices	ApicalRatio	A-CatMedialMean	A-CatMedialSum	A-CatMedialNorm	A-CatMedialVertices	ActinMedialMean	ActinMedialSum	ActinMedialNorm	ActinMedialVertices	MedialRatio	A-CatBasalMean	A-CatBasalSum	A-CatBasalNorm	A-CatBasalVertices	ActinBasalMean	ActinBasalSum	ActinBasalNorm	ActinBasalVertices	BasalRatio
1	31.516	39.184	6191	2.007	56.381	62.071	2607	2.353	62.071	1.172	56.381	2368	2.888	56.381	62.071	2607	2.353	62.071	0.815	100.071	4203	2.586	100.071	62.190	2612	1.422	62.190	0.550
2	30.037	36.672	4914	1.919	47.929	77.429	3252	3.025	77.429	1.576	47.929	2013	2.508	47.929	77.429	3252	3.025	77.429	1.206	78.690	3305	2.060	78.690	51.024	2143	1.168	51.024	0.567
3	30.566	26.706	4086	1.413	37.452	66.714	2802.000	2.654	66.714	1.878	37.452	1573.000	1.982	37.452	66.714	2802.000	2.654	66.714	1.339	70.048	2942	1.837	70.048	45.714	1920	1.049	45.714	0.571
4	28.004	26.810	3378	1.344	30.571	48.048	2018.000	1.790	48.048	1.332	30.571	1284	1.533	30.571	48.048	2018.000	1.790	48.048	1.168	66.429	2790	1.703	66.429	44.190	1856	1.026	44.190	0.603
5	24.083	38.533	4701	1.974	43.690	73.381	3082	2.824	73.381	1.430	43.690	1835	2.239	43.690	73.381	3082	2.824	73.381	1.261	87.286	3666.000	2.259	87.286	35.095	1474	0.811	35.095	0.359
6	23.633	36.187	3872	1.907	46.143	62.619	2630	2.487	62.619	1.304	46.143	1938.000	2.431	46.143	62.619	2630	2.487	62.619	1.023	91.095	3826.000	2.374	91.095	44.595	1873	1.040	44.595	0.438
7	24.505	36.306	4030.000	1.840	68.405	70.024	2941	2.691	70.024	1.462	68.405	2873.000	3.467	68.405	70.024	2941	2.691	70.024	0.776	89.500	3759	2.308	89.500	35.714	1500	0.834	35.714	0.361
8	23.022	36.670	3447	1.943	41.357	57.905	2432	2.336	57.905	1.202	41.357	1737.000	2.192	41.357	57.905	2432	2.336	57.905	1.066	82.095	3448.000	2.143	82.095	41.714	1752	0.970	41.714	0.453
9	23.505	40.264	4268	2.187	53.500	56.643	2379	2.334	56.643	1.067	53.500	2247	2.905	53.500	56.643	2379	2.334	56.643	0.803	90.595	3805.000	2.381	90.595	44.952	1888.000	1.047	44.952	0.440
10	27.518	25.182	2770	1.375	34.929	51.310	2155	2.114	51.310	1.537	34.929	1467	1.907	34.929	51.310	2155	2.114	51.310	1.108	69.262	2909	1.851	69.262	53.881	2263	1.255	53.881	0.678
11	28.500	35.669	5172	1.883	25.714	60.643	2547	2.395	60.643	1.272	25.714	1080	1.358	25.714	60.643	2547	2.395	60.643	1.764	68.833	2891	1.816	68.833	44	1848	1.021	44	0.562
12	20.156	29.467	2711	1.658	39.262	65.667	2758	2.793	65.667	1.685	39.262	1649	2.209	39.262	65.667	2758	2.793	65.667	1.265	74.286	3120.000	1.995	74.286	33.429	1404	0.774	33.429	0.388
13	23.135	30.433	3165	1.770	44.476	60.167	2527	2.655	60.167	1.500	44.476	1868	2.587	44.476	60.167	2527	2.655	60.167	1.027	94.452	3967	2.577	94.452	38	1596	0.883	38	0.342
14	23.436	35.010	3606.000	1.993	47.524	60.214	2529	2.604	60.214	1.307	47.524	1996	2.705	47.524	60.214	2529	2.604	60.214	0.963	75.952	3190	2.079	75.952	36.238	1522	0.847	36.238	0.407
15	21.587	31.652	2817	1.758	46.310	55.595	2335	2.334	55.595	1.328	46.310	1945	2.572	46.310	55.595	2335	2.334	55.595	0.908	83.071	3489	2.254	83.071	43.167	1813	1.013	43.167	0.450
16	19.729	30.456	2406	1.648	38.357	64.262	2699	2.645	64.262	1.604	38.357	1611.000	2.076	38.357	64.262	2699	2.645	64.262	1.274	91.119	3827	2.468	91.119	39.143	1644.000	0.928	39.143	0.376
17	20.652	38.638	3632	2.221	41.167	40.952	1720.000	1.802	40.952	0.811	41.167	1729	2.367	41.167	40.952	1720.000	1.802	40.952	0.762	88.429	3714	2.455	88.429	38.905	1634	0.919	38.905	0.374
18	19.026	29.032	2758	1.667	26.429	41.690	1751	1.824	41.690	1.095	26.429	1110	1.517	26.429	41.690	1751	1.824	41.690	1.202	79.762	3350	2.220	79.762	34.500	1449	0.816	34.500	0.368
19	20.524	24.598	2017	1.384	40.143	55.286	2322	2.344	55.286	1.693	40.143	1686.000	2.259	40.143	55.286	2322	2.344	55.286	1.038	78.952	3316	2.176	78.952	34.071	1431	0.807	34.071	0.371
