Frame	Mem Length	A-CatApicalMean	A-CatApicalSum	A-CatApicalNorm	A-CatApicalVertices	ActinApicalMean	ActinApicalSum	ActinApicalNorm	ActinApicalVertices	ApicalRatio	A-CatMedialMean	A-CatMedialSum	A-CatMedialNorm	A-CatMedialVertices	ActinMedialMean	ActinMedialSum	ActinMedialNorm	ActinMedialVertices	MedialRatio	A-CatBasalMean	A-CatBasalSum	A-CatBasalNorm	A-CatBasalVertices	ActinBasalMean	ActinBasalSum	ActinBasalNorm	ActinBasalVertices	BasalRatio
119	5.696	25.875	621	1.461	18.524	17.571	738.000	0.755	17.571	0.516	18.524	778.000	1.046	18.524	17.571	738.000	0.755	17.571	0.721	37.714	1584	1.090	37.714	36.833	1547	0.934	36.833	0.857
120	7.180	26.861	967	1.538	30.738	17.810	748	0.775	17.810	0.504	30.738	1291	1.760	30.738	17.810	748	0.775	17.810	0.440	45.024	1891	1.308	45.024	32.571	1368	0.821	32.571	0.628
121	6.083	19.567	587	1.142	23.071	17.548	737	0.773	17.548	0.677	23.071	969.000	1.346	23.071	17.548	737	0.773	17.548	0.574	41.548	1745.000	1.231	41.548	26.905	1130	0.675	26.905	0.548
122	5.907	20.214	566	1.180	21.024	18.667	784	0.831	18.667	0.704	21.024	883.000	1.227	21.024	18.667	784	0.831	18.667	0.677	57.762	2426	1.712	57.762	40.119	1685	1.015	40.119	0.593
123	6.864	21.647	736	1.305	20.976	16.333	686	0.756	16.333	0.580	20.976	881.000	1.264	20.976	16.333	686	0.756	16.333	0.598	49.500	2079	1.502	49.500	49.643	2085	1.255	49.643	0.836
124	8.433	17.239	793	0.999	15.714	23.262	977	1.038	23.262	1.039	15.714	660	0.910	15.714	23.262	977	1.038	23.262	1.140	54.452	2287	1.649	54.452	54.905	2306	1.389	54.905	0.843
125	9.849	13.302	705	0.747	17.929	22.119	929	0.948	22.119	1.269	17.929	753.000	1.007	17.929	22.119	929	0.948	22.119	0.941	49.024	2059	1.455	49.024	47.238	1984	1.190	47.238	0.818
126	9.068	22.771	1093	1.232	22.143	30.381	1276	1.240	30.381	1.006	22.143	930	1.198	22.143	30.381	1276	1.240	30.381	1.035	57.976	2435	1.696	57.976	38.929	1635	0.978	38.929	0.576
127	7.803	18.056	650	1.036	14.929	16.024	673.000	0.695	16.024	0.671	14.929	627	0.856	14.929	16.024	673.000	0.695	16.024	0.812	42.762	1796	1.273	42.762	53.643	2253	1.348	53.643	1.059
128	7.696	19.297	714	1.070	19.095	22.119	929	0.933	22.119	0.871	19.095	802	1.059	19.095	22.119	929	0.933	22.119	0.880	52.905	2222	1.552	52.905	61.714	2592	1.559	61.714	1.004
