Frame	Mem Length	A-CatApicalMean	A-CatApicalSum	A-CatApicalNorm	A-CatApicalVertices	ActinApicalMean	ActinApicalSum	ActinApicalNorm	ActinApicalVertices	ApicalRatio	A-CatMedialMean	A-CatMedialSum	A-CatMedialNorm	A-CatMedialVertices	ActinMedialMean	ActinMedialSum	ActinMedialNorm	ActinMedialVertices	MedialRatio	A-CatBasalMean	A-CatBasalSum	A-CatBasalNorm	A-CatBasalVertices	ActinBasalMean	ActinBasalSum	ActinBasalNorm	ActinBasalVertices	BasalRatio
63	6.265	20.846	542	1.447	25.095	32.976	1385	1.812	32.976	1.252	25.095	1054	1.741	25.095	32.976	1385	1.812	32.976	1.040	83.500	3507	2.730	83.500	34.857	1464.000	0.876	34.857	0.321
64	10.062	19.020	932	1.330	17.119	25.833	1085	1.433	25.833	1.078	17.119	719	1.197	17.119	25.833	1085	1.433	25.833	1.198	36.619	1538	1.198	36.619	39.143	1644.000	0.979	39.143	0.818
65	5.385	27.069	785	1.868	18.548	30.452	1279	1.653	30.452	0.885	18.548	779	1.280	18.548	30.452	1279	1.653	30.452	1.291	55.952	2350	1.785	55.952	38.833	1631	0.964	38.833	0.540
66	5.590	31.167	935	2.108	28.405	33.119	1391	1.776	33.119	0.843	28.405	1193	1.921	28.405	33.119	1391	1.776	33.119	0.925	59.548	2501	1.889	59.548	51.452	2161	1.270	51.452	0.672
67	6.500	46.321	1297	3.103	32.167	36.833	1547	1.961	36.833	0.632	32.167	1351	2.155	32.167	36.833	1547	1.961	36.833	0.910	70.095	2944.000	2.207	70.095	35.667	1498	0.886	35.667	0.402
68	8.078	26.048	1094	1.827	29.190	25.738	1081	1.439	25.738	0.788	29.190	1226	2.047	29.190	25.738	1081	1.439	25.738	0.703	72.714	3054.000	2.369	72.714	35.952	1510.000	0.880	35.952	0.371
69	8.062	22.093	950	1.530	19.667	40.786	1713	2.228	40.786	1.456	19.667	826	1.362	19.667	40.786	1713	2.228	40.786	1.636	72.429	3042	2.342	72.429	44	1848	1.081	44	0.462
70	11.654	23.672	1373	1.658	19.714	29.333	1232	1.650	29.333	0.996	19.714	828	1.381	19.714	29.333	1232	1.650	29.333	1.195	60.524	2542	2.001	60.524	46.119	1937	1.139	46.119	0.569
71	16.020	18.520	1389	1.315	22.762	37.238	1564	2.125	37.238	1.616	22.762	956	1.617	22.762	37.238	1564	2.125	37.238	1.314	64.857	2724	2.152	64.857	46.405	1949	1.139	46.405	0.529
72	11.654	21.458	1266	1.547	21.071	40.071	1683	2.321	40.071	1.500	21.071	885.000	1.519	21.071	40.071	1683	2.321	40.071	1.527	62.667	2632	2.151	62.667	40.929	1719	1.040	40.929	0.483
73	10.621	25.356	1141	1.830	21.690	41.714	1752	2.430	41.714	1.328	21.690	911	1.565	21.690	41.714	1752	2.430	41.714	1.553	59.833	2513	2.042	59.833	49	2058	1.213	49	0.594
74	8.280	22.611	814	1.625	18.786	50.738	2131	2.933	50.738	1.804	18.786	789	1.350	18.786	50.738	2131	2.933	50.738	2.172	72.262	3035	2.435	72.262	45.786	1923	1.136	45.786	0.467
75	9.621	22.045	970	1.630	20.571	34.214	1437	2.063	34.214	1.266	20.571	864.000	1.521	20.571	34.214	1437	2.063	34.214	1.357	54.119	2273	1.902	54.119	36.762	1544	0.923	36.762	0.485
76	9.169	18.068	795.000	1.340	24.643	28.905	1214	1.772	28.905	1.322	24.643	1035	1.828	24.643	28.905	1214	1.772	28.905	0.969	82.619	3470	2.936	82.619	43.857	1842.000	1.138	43.857	0.388
77	8.610	13.383	629	1.008	22.452	27.619	1160	1.720	27.619	1.706	22.452	943	1.691	22.452	27.619	1160	1.720	27.619	1.017	65.071	2733	2.303	65.071	40.952	1720.000	1.031	40.952	0.448
78	8.835	28.958	1390	2.160	17.119	19.667	826	1.215	19.667	0.562	17.119	719	1.277	17.119	19.667	826	1.215	19.667	0.951	64.571	2712	2.305	64.571	41.452	1741.000	1.026	41.452	0.445
79	10.770	18.448	1070	1.426	24.952	25.452	1069	1.643	25.452	1.152	24.952	1048	1.929	24.952	25.452	1069	1.643	25.452	0.851	67.548	2837	2.466	67.548	49.214	2067	1.201	49.214	0.487
80	7.906	24.238	1018	1.801	22.500	31.690	1331	1.935	31.690	1.074	22.500	945	1.672	22.500	31.690	1331	1.935	31.690	1.157	67.024	2815	2.356	67.024	50.905	2138	1.248	50.905	0.530
81	7.045	23.763	903	1.791	19.452	27.976	1175	1.742	27.976	0.973	19.452	817	1.466	19.452	27.976	1175	1.742	27.976	1.188	55.690	2339	1.996	55.690	49.095	2062	1.205	49.095	0.603
82	6.600	21.697	716	1.611	22.857	29.857	1254	1.820	29.857	1.130	22.857	960	1.697	22.857	29.857	1254	1.820	29.857	1.073	57.929	2433	2.045	57.929	58.167	2443	1.446	58.167	0.707
83	7.382	18.500	666	1.311	14.095	26.048	1094	1.496	26.048	1.141	14.095	592	0.998	14.095	26.048	1094	1.496	26.048	1.498	48.643	2043.000	1.642	48.643	45.381	1906	1.127	45.381	0.687
84	8.404	24.205	944	1.757	18.381	31.952	1342	1.900	31.952	1.081	18.381	772	1.334	18.381	31.952	1342	1.900	31.952	1.424	64.738	2719	2.221	64.738	52.833	2219	1.314	52.833	0.592
85	5.942	18.968	588	1.356	22.619	30.929	1299	1.795	30.929	1.324	22.619	950	1.618	22.619	30.929	1299	1.795	30.929	1.110	69	2898	2.359	69	48.071	2019	1.202	48.071	0.510
86	6.801	21.719	695	1.541	26.214	32.643	1371.000	1.865	32.643	1.210	26.214	1101	1.860	26.214	32.643	1371.000	1.865	32.643	1.003	62.952	2644	2.140	62.952	38.333	1610	0.978	38.333	0.457
87	8.696	20.625	825	1.418	26.786	27.095	1138	1.490	27.095	1.051	26.786	1125	1.842	26.786	27.095	1138	1.490	27.095	0.809	52.095	2188	1.701	52.095	33.786	1419	0.852	33.786	0.501
88	10.770	26.729	1283	1.824	19.262	24.905	1046	1.348	24.905	0.739	19.262	809	1.314	19.262	24.905	1046	1.348	24.905	1.026	73.571	3090	2.395	73.571	46.762	1964	1.165	46.762	0.486
89	10.934	18.554	1039	1.272	16.310	23.405	983	1.280	23.405	1.006	16.310	685	1.118	16.310	23.405	983	1.280	23.405	1.145	76.333	3206	2.491	76.333	39.262	1649	0.979	39.262	0.393
90	8.004	24.675	987	1.721	32.810	30.833	1295	1.735	30.833	1.008	32.810	1378	2.288	32.810	30.833	1295	1.735	30.833	0.758	59.405	2495	1.991	59.405	44.667	1876	1.111	44.667	0.558
91	8.867	20.370	937	1.401	23.214	48.048	2018.000	2.628	48.048	1.876	23.214	975	1.597	23.214	48.048	2018.000	2.628	48.048	1.646	68.667	2884	2.237	68.667	38.310	1609	0.959	38.310	0.429
92	8.721	19.383	911.000	1.296	30.143	45.357	1905.000	2.412	45.357	1.862	30.143	1266	2.015	30.143	45.357	1905.000	2.412	45.357	1.197	72.333	3038	2.312	72.333	39.357	1653.000	0.986	39.357	0.426
93	9.657	22.467	1011.000	1.526	30.048	37.952	1594.000	2.056	37.952	1.347	30.048	1262	2.041	30.048	37.952	1594.000	2.056	37.952	1.007	96.833	4067	3.131	96.833	33.071	1389	0.828	33.071	0.264
94	10.636	24.672	1431	1.619	26.548	45.452	1909.000	2.355	45.452	1.455	26.548	1115	1.742	26.548	45.452	1909.000	2.355	45.452	1.352	78.048	3278	2.475	78.048	36	1512	0.901	36	0.364
95	8.732	30.696	1412	1.996	25.405	49.952	2098	2.557	49.952	1.281	25.405	1067	1.652	25.405	49.952	2098	2.557	49.952	1.548	65.310	2743	2.038	65.310	47.262	1985	1.186	47.262	0.582
96	8.835	34.326	1476.000	2.206	24.738	41.024	1723	2.081	41.024	0.943	24.738	1039	1.590	24.738	41.024	1723	2.081	41.024	1.309	81.405	3419.000	2.517	81.405	35.119	1475	0.882	35.119	0.350
97	9.059	39.911	1796	2.577	24.286	39.476	1658	2.012	39.476	0.781	24.286	1020	1.568	24.286	39.476	1658	2.012	39.476	1.283	84.881	3565	2.645	84.881	28.619	1202	0.718	28.619	0.272
98	10.078	33.341	1467	2.205	35.429	56.381	2368	2.970	56.381	1.347	35.429	1488	2.343	35.429	56.381	2368	2.970	56.381	1.268	81.976	3443	2.588	81.976	45.714	1920	1.146	45.714	0.443
99	9.890	41.816	2049	2.724	32.548	57.143	2400	2.946	57.143	1.082	32.548	1367.000	2.120	32.548	57.143	2400	2.946	57.143	1.390	75.167	3157	2.381	75.167	41.952	1762.000	1.070	41.952	0.449
100	10.636	31.776	1843	1.981	36.833	55.381	2326	2.702	55.381	1.364	36.833	1547	2.296	36.833	55.381	2326	2.702	55.381	1.176	68.905	2894.000	2.084	68.905	43.024	1807	1.086	43.024	0.521
101	10.308	39.646	1903	2.453	36.833	59.071	2481	2.840	59.071	1.158	36.833	1547	2.279	36.833	59.071	2481	2.840	59.071	1.246	73.810	3100	2.205	73.810	35.333	1484	0.898	35.333	0.407
102	7.555	28	1036	1.702	24.738	47.738	2005	2.265	47.738	1.331	24.738	1039	1.503	24.738	47.738	2005	2.265	47.738	1.507	68.833	2891	2.046	68.833	39.714	1668	1.008	39.714	0.492
103	5.815	33.036	925	2.032	28.619	36.548	1535.000	1.769	36.548	0.871	28.619	1202	1.760	28.619	36.548	1535.000	1.769	36.548	1.005	74.262	3119	2.215	74.262	44.595	1873	1.129	44.595	0.510
104	5.590	21.138	613	1.350	23.405	32.429	1362	1.621	32.429	1.201	23.405	983	1.495	23.405	32.429	1362	1.621	32.429	1.084	52.143	2190	1.597	52.143	39.048	1640.000	0.983	39.048	0.616
105	4.138	21.857	459	1.387	23.902	34.341	1408	1.704	34.341	1.229	23.902	980	1.516	23.902	34.341	1408	1.704	34.341	1.124	60.390	2476	1.856	60.390	29.488	1209	0.742	29.488	0.400
106	5.256	26.778	723	1.636	28.714	35.262	1481	1.690	35.262	1.033	28.714	1206	1.754	28.714	35.262	1481	1.690	35.262	0.963	54.500	2289	1.634	54.500	27.452	1153	0.692	27.452	0.424
107	4.366	20.591	453	1.280	26.325	38.100	1524	1.861	38.100	1.454	26.325	1053	1.637	26.325	38.100	1524	1.861	38.100	1.137	54.100	2164	1.656	54.100	34.525	1381	0.871	34.525	0.526
108	8.276	26.846	1047	1.654	21.071	29.429	1236	1.407	29.429	0.851	21.071	885.000	1.298	21.071	29.429	1236	1.407	29.429	1.084	51.524	2164	1.549	51.524	35.548	1493.000	0.899	35.548	0.580
109	8.544	22	1012	1.349	22.976	44	1848	2.098	44	1.555	22.976	965.000	1.409	22.976	44	1848	2.098	44	1.489	64.738	2719	1.945	64.738	35.333	1484	0.895	35.333	0.460
110	7.289	13.727	453	0.864	32.286	39.024	1639	1.898	39.024	2.198	32.286	1356	2.031	32.286	39.024	1639	1.898	39.024	0.935	67.357	2829	2.050	67.357	35.643	1497.000	0.896	35.643	0.437
111	7.504	32.778	1180	2.042	42.071	50.310	2113	2.426	50.310	1.189	42.071	1767	2.620	42.071	50.310	2113	2.426	50.310	0.926	79.643	3345	2.431	79.643	42.476	1784	1.099	42.476	0.452
112	8.162	36.077	1407.000	2.164	40.500	64.476	2708	2.975	64.476	1.375	40.500	1701	2.430	40.500	64.476	2708	2.975	64.476	1.224	79.095	3322.000	2.327	79.095	31.238	1312	0.792	31.238	0.340
113	7.492	32.881	1381	2.010	38.452	58.643	2463	2.787	58.643	1.386	38.452	1615.000	2.351	38.452	58.643	2463	2.787	58.643	1.186	83.690	3515	2.490	83.690	33.833	1421	0.851	33.833	0.342
114	6.828	36.417	1311	2.199	30.571	38.619	1622	1.789	38.619	0.814	30.571	1284	1.846	30.571	38.619	1622	1.789	38.619	0.969	77.381	3250	2.303	77.381	31.476	1322	0.791	31.476	0.343
115	5.154	30.786	862	1.770	43.357	84.571	3552	3.747	84.571	2.117	43.357	1821.000	2.493	43.357	84.571	3552	3.747	84.571	1.503	57.310	2407	1.650	57.310	30.119	1265	0.761	30.119	0.461
116	5.368	34.214	958	2.003	32.829	75.561	3098	3.389	75.561	1.692	32.829	1346	1.922	32.829	75.561	3098	3.389	75.561	1.763	56.415	2313	1.645	56.415	43.707	1792.000	1.103	43.707	0.670
117	7.846	37.619	1580	2.115	36.571	63.405	2663	2.712	63.405	1.282	36.571	1536	2.056	36.571	63.405	2663	2.712	63.405	1.319	71.405	2999.000	2.080	71.405	48.571	2040	1.226	48.571	0.589
118	6.865	30.861	1111	1.872	45.667	52.690	2213	2.452	52.690	1.310	45.667	1918	2.770	45.667	52.690	2213	2.452	52.690	0.885	73.452	3085	2.203	73.452	52.548	2207	1.321	52.548	0.600
119	10.398	46.816	2294	2.644	52.833	74.357	3123	3.193	74.357	1.208	52.833	2219	2.983	52.833	74.357	3123	3.193	74.357	1.070	75.071	3153	2.169	75.071	52.238	2194	1.324	52.238	0.611
120	8.610	40.917	1964	2.342	49.452	72.595	3049.000	3.158	72.595	1.348	49.452	2077	2.831	49.452	72.595	3049.000	3.158	72.595	1.115	75.571	3174	2.195	75.571	53.214	2235	1.341	53.214	0.611
121	11.424	35.056	1893	2.046	31.262	57.714	2424	2.542	57.714	1.242	31.262	1313	1.824	31.262	57.714	2424	2.542	57.714	1.393	73.524	3088	2.179	73.524	45.810	1924	1.149	45.810	0.528
122	10.287	46.222	2496	2.698	30.881	53.595	2251	2.387	53.595	0.885	30.881	1297	1.802	30.881	53.595	2251	2.387	53.595	1.324	80.452	3379	2.385	80.452	39.548	1661.000	1.001	39.548	0.420
123	9.728	40.659	1789	2.450	43.786	60.214	2529	2.789	60.214	1.138	43.786	1839	2.639	43.786	60.214	2529	2.789	60.214	1.057	73.238	3076	2.223	73.238	34.714	1458	0.878	34.714	0.395
124	10.180	37.367	1831	2.164	45.190	46.857	1968.000	2.091	46.857	0.966	45.190	1898	2.618	45.190	46.857	1968.000	2.091	46.857	0.799	77.643	3261	2.351	77.643	48.429	2034	1.225	48.429	0.521
