Frame	Mem Length	A-CatApicalMean	A-CatApicalSum	A-CatApicalNorm	A-CatApicalVertices	ActinApicalMean	ActinApicalSum	ActinApicalNorm	ActinApicalVertices	ApicalRatio	A-CatMedialMean	A-CatMedialSum	A-CatMedialNorm	A-CatMedialVertices	ActinMedialMean	ActinMedialSum	ActinMedialNorm	ActinMedialVertices	MedialRatio	A-CatBasalMean	A-CatBasalSum	A-CatBasalNorm	A-CatBasalVertices	ActinBasalMean	ActinBasalSum	ActinBasalNorm	ActinBasalVertices	BasalRatio
1	9.155	40.255	1892.000	2.062	33	50.357	2115	1.909	50.357	0.926	33	1386	1.691	33	50.357	2115	1.909	50.357	1.129	81.929	3441	2.117	81.929	35.095	1474	0.803	35.095	0.379
2	11.950	43.156	2762	2.258	44.571	59.667	2506	2.331	59.667	1.032	44.571	1872	2.332	44.571	59.667	2506	2.331	59.667	0.999	87.524	3676	2.292	87.524	38.095	1600	0.872	38.095	0.381
3	17.205	29.337	2523	1.552	32.571	35.714	1500	1.421	35.714	0.915	32.571	1368	1.723	32.571	35.714	1500	1.421	35.714	0.824	62.238	2614	1.632	62.238	35.429	1488	0.813	35.429	0.498
4	18.118	34.551	3075.000	1.732	55.905	46.405	1949	1.729	46.405	0.998	55.905	2348	2.803	55.905	46.405	1949	1.729	46.405	0.617	82.381	3460	2.112	82.381	40.976	1721	0.951	40.976	0.451
5	14.311	46.234	2959	2.369	50.262	41.119	1727	1.582	41.119	0.668	50.262	2111	2.575	50.262	41.119	1727	1.582	41.119	0.614	78.095	3280.000	2.021	78.095	39.286	1650	0.908	39.286	0.449
6	14.450	37.579	2856	1.980	32.071	44.810	1882	1.780	44.810	0.899	32.071	1347	1.690	32.071	44.810	1882	1.780	44.810	1.053	62.857	2640	1.638	62.857	40.119	1685	0.936	40.119	0.571
7	12.075	33.900	2034	1.718	27.500	42.476	1784	1.632	42.476	0.950	27.500	1155	1.394	27.500	42.476	1784	1.632	42.476	1.171	72.738	3055	1.876	72.738	23.071	969.000	0.539	23.071	0.287
8	12.555	42.239	2830	2.238	37.476	44.167	1855	1.782	44.167	0.796	37.476	1574	1.986	37.476	44.167	1855	1.782	44.167	0.897	92.048	3866	2.403	92.048	31.881	1339	0.741	31.881	0.308
9	10.900	37.164	2044	2.018	32.381	30.786	1293	1.269	30.786	0.629	32.381	1360	1.758	32.381	30.786	1293	1.269	30.786	0.721	67.190	2822	1.766	67.190	37.500	1575	0.874	37.500	0.495
10	10.078	44.185	2386	2.413	29.333	39.262	1649	1.617	39.262	0.670	29.333	1232	1.602	29.333	39.262	1649	1.617	39.262	1.010	76.095	3196.000	2.034	76.095	47.786	2007	1.113	47.786	0.547
11	9.090	41.234	1938.000	2.177	36.929	41.238	1732	1.629	41.238	0.748	36.929	1551	1.950	36.929	41.238	1732	1.629	41.238	0.835	97.833	4109	2.581	97.833	41.667	1750	0.966	41.667	0.374
12	12.093	33.276	1930	1.872	24.048	43.214	1815	1.838	43.214	0.982	24.048	1010	1.353	24.048	43.214	1815	1.838	43.214	1.359	84.190	3536	2.262	84.190	45.643	1917.000	1.057	45.643	0.467
13	12.760	31.426	2137	1.828	21.071	38.357	1611.000	1.693	38.357	0.926	21.071	885.000	1.225	21.071	38.357	1611.000	1.693	38.357	1.381	86.214	3621.000	2.352	86.214	42.762	1796	0.993	42.762	0.422
14	12.005	35.086	2035	1.997	19.429	33.405	1403	1.445	33.405	0.723	19.429	816.000	1.106	19.429	33.405	1403	1.445	33.405	1.306	95.381	4006	2.611	95.381	44.429	1866	1.038	44.429	0.398
15	9.169	28.475	1139	1.581	32.810	42.262	1775	1.774	42.262	1.122	32.810	1378	1.822	32.810	42.262	1775	1.774	42.262	0.974	87.476	3674	2.374	87.476	38.286	1608	0.899	38.286	0.379
16	8.602	28.093	1208	1.520	39.310	36.690	1541	1.510	36.690	0.993	39.310	1651	2.127	39.310	36.690	1541	1.510	36.690	0.710	78.405	3293.000	2.123	78.405	33.571	1410	0.796	33.571	0.375
17	7.632	31.146	1277	1.791	30.262	31.333	1316	1.379	31.333	0.770	30.262	1271	1.740	30.262	31.333	1316	1.379	31.333	0.793	71.357	2997	1.981	71.357	38.571	1620	0.911	38.571	0.460
18	8.189	38.300	1532	2.199	35.024	33.595	1411	1.470	33.595	0.669	35.024	1471	2.011	35.024	33.595	1411	1.470	33.595	0.731	72	3024	2.004	72	43.905	1844	1.039	43.905	0.518
19	10.512	23.950	1437	1.348	29.952	35.857	1506.000	1.520	35.857	1.128	29.952	1258	1.686	29.952	35.857	1506.000	1.520	35.857	0.902	91.905	3860.000	2.532	91.905	34.286	1440	0.812	34.286	0.321
20	8.944	28.705	1263	1.651	29.190	35.262	1481	1.556	35.262	0.942	29.190	1226	1.679	29.190	35.262	1481	1.556	35.262	0.927	61.667	2590	1.721	61.667	38.619	1622	0.916	38.619	0.532
21	6.946	40.265	1369	2.363	18.405	28.929	1215	1.282	28.929	0.542	18.405	773	1.080	18.405	28.929	1215	1.282	28.929	1.187	57.119	2399	1.612	57.119	30.595	1285	0.720	30.595	0.447
22	6.500	28.121	928	1.645	24.810	21.786	915	0.980	21.786	0.596	24.810	1042	1.451	24.810	21.786	915	0.980	21.786	0.675	52.214	2193	1.473	52.214	35.357	1485.000	0.839	35.357	0.570
23	7.826	32.051	1250	1.867	25.881	28.929	1215	1.290	28.929	0.691	25.881	1087	1.507	25.881	28.929	1215	1.290	28.929	0.856	63.857	2682	1.804	63.857	30.619	1286	0.730	30.619	0.405
24	9.424	29.061	1424	1.662	24.690	29.810	1252	1.299	29.810	0.782	24.690	1037	1.412	24.690	29.810	1252	1.299	29.810	0.920	62.429	2622	1.757	62.429	22.286	936	0.533	22.286	0.303
25	10.977	31.821	1782	1.933	18.714	29.810	1252	1.406	29.810	0.727	18.714	786	1.137	18.714	29.810	1252	1.406	29.810	1.237	63.286	2658	1.822	63.286	30.429	1278	0.726	30.429	0.399
26	7.387	20.286	852	1.264	22.952	30.190	1268	1.454	30.190	1.150	22.952	964	1.431	22.952	30.190	1268	1.454	30.190	1.016	52.500	2205	1.545	52.500	41.810	1756	0.999	41.810	0.646
27	8.610	27.023	1162	1.598	27.786	31.357	1317	1.422	31.357	0.890	27.786	1167	1.644	27.786	31.357	1317	1.422	31.357	0.865	71.167	2989	2.039	71.167	36.143	1518.000	0.867	36.143	0.425
28	9.962	22.122	907	1.329	23.095	27.143	1140	1.262	27.143	0.949	23.095	970	1.388	23.095	27.143	1140	1.262	27.143	0.909	64.952	2728	1.886	64.952	49.119	2063	1.184	49.119	0.628
29	8.620	29.833	1253	1.835	30.119	37.452	1573.000	1.792	37.452	0.977	30.119	1265	1.852	30.119	37.452	1573.000	1.792	37.452	0.968	80.643	3387	2.408	80.643	41.595	1747	0.997	41.595	0.414
30	10.770	26.707	1549	1.605	25.667	33	1386	1.530	33	0.953	25.667	1078	1.543	25.667	33	1386	1.530	33	0.992	56.881	2389	1.673	56.881	35.524	1492	0.857	35.524	0.512
31	13.750	18.085	1284	1.084	20.667	23.167	973	1.071	23.167	0.989	20.667	868	1.238	20.667	23.167	973	1.071	23.167	0.865	64.167	2695	1.870	64.167	38.738	1627	0.933	38.738	0.499
32	9.708	21.860	1093	1.349	19.143	31.643	1329	1.520	31.643	1.126	19.143	804	1.182	19.143	31.643	1329	1.520	31.643	1.286	67.238	2824	1.966	67.238	29.976	1259	0.722	29.976	0.367
33	10.078	26.804	1233	1.725	19.310	27.690	1163	1.380	27.690	0.800	19.310	811	1.243	19.310	27.690	1163	1.380	27.690	1.110	75.310	3163	2.269	75.310	41.786	1755	0.998	41.786	0.440
34	10.636	25.920	1296	1.625	30.333	37.643	1581.000	1.797	37.643	1.105	30.333	1274	1.902	30.333	37.643	1581.000	1.797	37.643	0.945	60.095	2524	1.781	60.095	39.976	1679	0.960	39.976	0.539
35	13.868	17.642	1182	1.163	23.690	21.738	913	1.110	21.738	0.955	23.690	995	1.561	23.690	21.738	913	1.110	21.738	0.711	75.738	3181	2.303	75.738	31.095	1306	0.744	31.095	0.323
36	12.701	23.625	1512	1.540	20.048	45.310	1903	2.281	45.310	1.481	20.048	842	1.307	20.048	45.310	1903	2.281	45.310	1.745	75.690	3179	2.278	75.690	41.524	1744	1.001	41.524	0.439
37	12.199	21.850	1311	1.458	23.905	39.214	1647	2.047	39.214	1.404	23.905	1004	1.595	23.905	39.214	1647	2.047	39.214	1.283	86.476	3632	2.662	86.476	34.381	1444	0.821	34.381	0.308
38	14.009	23.894	1577	1.593	26.667	29.619	1244	1.544	29.619	0.969	26.667	1120	1.778	26.667	29.619	1244	1.544	29.619	0.868	52.690	2213	1.636	52.690	33.619	1412	0.802	33.619	0.490
39	9.862	28.127	1547	1.898	23.262	30.929	1299	1.626	30.929	0.857	23.262	977	1.570	23.262	30.929	1299	1.626	30.929	1.036	64.214	2697.000	2.007	64.214	40.214	1689	0.959	40.214	0.478
40	9.915	20.234	951	1.396	12.262	24.738	1039	1.352	24.738	0.969	12.262	515	0.846	12.262	24.738	1039	1.352	24.738	1.599	72	3024	2.298	72	38.476	1616	0.912	38.476	0.397
41	9.925	24.816	1216	1.700	28	23.762	998	1.279	23.762	0.752	28	1176	1.918	28	23.762	998	1.279	23.762	0.667	65.786	2763.000	2.087	65.786	41.762	1754	0.994	41.762	0.476
42	7.632	19.444	700	1.307	17.905	33.024	1387	1.750	33.024	1.339	17.905	752	1.203	17.905	33.024	1387	1.750	33.024	1.454	67.048	2816	2.098	67.048	41.952	1762.000	1.005	41.952	0.479
43	8.189	30.222	1088	2.066	18.762	24.905	1046	1.352	24.905	0.654	18.762	788	1.283	18.762	24.905	1046	1.352	24.905	1.054	63.738	2677	2.007	63.738	29.405	1235	0.706	29.405	0.352
44	8.746	19.444	875.000	1.291	15.738	27.286	1146	1.412	27.286	1.094	15.738	661	1.045	15.738	27.286	1146	1.412	27.286	1.351	58.810	2470	1.797	58.810	32.619	1370	0.784	32.619	0.436
45	8.404	19.844	893	1.416	17.452	15.310	643	0.876	15.310	0.619	17.452	733	1.245	17.452	15.310	643	0.876	15.310	0.703	65.714	2760.000	2.167	65.714	29.810	1252	0.713	29.810	0.329
46	8.310	15.053	572	1.066	12.095	21.143	888	1.202	21.143	1.128	12.095	508	0.856	12.095	21.143	888	1.202	21.143	1.404	60.738	2551	2.004	60.738	30.643	1287	0.734	30.643	0.366
47	9.647	19.574	920	1.378	19.238	21.881	919	1.223	21.881	0.888	19.238	808	1.354	19.238	21.881	919	1.223	21.881	0.903	57.524	2416	1.880	57.524	24.524	1030	0.586	24.524	0.312
48	9.434	18.383	864.000	1.316	15.643	30.333	1274	1.710	30.333	1.300	15.643	657	1.120	15.643	30.333	1274	1.710	30.333	1.527	58.357	2451	1.940	58.357	34.024	1429	0.805	34.024	0.415
49	9.956	29.388	1440	2.156	15.690	20.857	876	1.235	20.857	0.573	15.690	659	1.151	15.690	20.857	876	1.235	20.857	1.073	57.429	2412	1.970	57.429	29.167	1225	0.689	29.167	0.350
50	8.962	16.958	814	1.231	20.476	22.833	959	1.327	22.833	1.078	20.476	860.000	1.486	20.476	22.833	959	1.327	22.833	0.893	43.595	1831	1.471	43.595	42.167	1771	0.999	42.167	0.679
51	9.169	24.182	1064	1.812	21.476	26.548	1115	1.636	26.548	0.903	21.476	902.000	1.609	21.476	26.548	1115	1.636	26.548	1.017	47.810	2008	1.718	47.810	41.476	1742	1.094	41.476	0.637
52	8.500	15.600	624	1.206	12.024	24.905	1046	1.606	24.905	1.332	12.024	505	0.929	12.024	24.905	1046	1.606	24.905	1.728	50.143	2106	1.884	50.143	42.405	1781	1.146	42.405	0.608
53	9.169	18.962	1005.000	1.408	15	27.976	1175	1.714	27.976	1.218	15	630	1.113	15	27.976	1175	1.714	27.976	1.539	52.310	2197	1.868	52.310	49.548	2081	1.327	49.548	0.710
54	9.062	19.532	918	1.493	17	26.476	1112	1.680	26.476	1.126	17	714	1.299	17	26.476	1112	1.680	26.476	1.294	52.738	2215	1.913	52.738	34.286	1440	0.920	34.286	0.481
55	8.276	17.881	751	1.368	17.619	22.929	963.000	1.457	22.929	1.065	17.619	740	1.348	17.619	22.929	963.000	1.457	22.929	1.081	60.024	2521	2.236	60.024	44.857	1884.000	1.227	44.857	0.549
56	10.078	29.453	1561	2.229	24.143	23.619	992	1.463	23.619	0.656	24.143	1014	1.827	24.143	23.619	992	1.463	23.619	0.801	57.024	2395	2.092	57.024	48.286	2028	1.331	48.286	0.636
57	8.962	21.978	989	1.641	22.024	28.690	1205	1.762	28.690	1.074	22.024	925.000	1.644	22.024	28.690	1205	1.762	28.690	1.072	45.143	1896.000	1.618	45.143	47.357	1989.000	1.311	47.357	0.811
58	8.504	22.543	1037	1.639	15.143	30.952	1300	1.833	30.952	1.118	15.143	636	1.101	15.143	30.952	1300	1.833	30.952	1.664	54.214	2277	1.905	54.214	43.548	1829.000	1.211	43.548	0.636
59	8.385	22.028	793	1.587	22.976	21.381	898	1.262	21.381	0.795	22.976	965.000	1.656	22.976	21.381	898	1.262	21.381	0.762	61.619	2588	2.122	61.619	39.976	1679	1.084	39.976	0.511
60	10.892	15.714	880	1.167	16.952	31.643	1329	1.916	31.643	1.642	16.952	712	1.259	16.952	31.643	1329	1.916	31.643	1.522	58.881	2473	2.069	58.881	57.929	2433	1.486	57.929	0.718
61	7.504	23.816	905.000	1.702	20.476	30.548	1283	1.746	30.548	1.026	20.476	860.000	1.463	20.476	30.548	1283	1.746	30.548	1.193	59.595	2503	2.036	59.595	59.190	2486	1.498	59.190	0.736
62	6.388	25.424	839	1.807	25.810	30.357	1275	1.727	30.357	0.955	25.810	1084	1.835	25.810	30.357	1275	1.727	30.357	0.941	71.762	3014	2.402	71.762	30.571	1284	0.769	30.571	0.320
