Frame	Mem Length	A-CatApicalMean	A-CatApicalSum	A-CatApicalNorm	A-CatApicalVertices	ActinApicalMean	ActinApicalSum	ActinApicalNorm	ActinApicalVertices	ApicalRatio	A-CatMedialMean	A-CatMedialSum	A-CatMedialNorm	A-CatMedialVertices	ActinMedialMean	ActinMedialSum	ActinMedialNorm	ActinMedialVertices	MedialRatio	A-CatBasalMean	A-CatBasalSum	A-CatBasalNorm	A-CatBasalVertices	ActinBasalMean	ActinBasalSum	ActinBasalNorm	ActinBasalVertices	BasalRatio
1	19.578	31.758	3144	1.627	37.571	33.929	1425	1.286	33.929	0.791	37.571	1578	1.925	37.571	33.929	1425	1.286	33.929	0.668	76.524	3214	1.978	76.524	25.810	1084	0.590	25.810	0.298
2	18.045	25.288	2023	1.323	41.738	30.810	1294	1.203	30.810	0.910	41.738	1753	2.184	41.738	30.810	1294	1.203	30.810	0.551	72.905	3062.000	1.909	72.905	28.310	1189	0.648	28.310	0.339
3	16.688	26.810	2252	1.418	28.619	27.071	1137	1.077	27.071	0.759	28.619	1202	1.514	28.619	27.071	1137	1.077	27.071	0.711	78.238	3286	2.052	78.238	30.857	1296	0.708	30.857	0.345
4	20.594	29.029	3048	1.455	27.929	33.810	1420	1.260	33.810	0.866	27.929	1173	1.400	27.929	33.810	1420	1.260	33.810	0.900	86.286	3624.000	2.212	86.286	33.452	1405.000	0.777	33.452	0.351
5	16.735	24.427	2174	1.252	36.357	24.643	1035	0.948	24.643	0.758	36.357	1527.000	1.863	36.357	24.643	1035	0.948	24.643	0.509	84.762	3560	2.194	84.762	28.167	1183	0.651	28.167	0.297
6	17.755	25.023	2202	1.319	30.119	36.571	1536	1.452	36.571	1.102	30.119	1265	1.587	30.119	36.571	1536	1.452	36.571	0.915	92.452	3883	2.409	92.452	32.714	1374	0.763	32.714	0.317
7	15.033	30.514	2258	1.547	33.262	28.238	1186	1.085	28.238	0.702	33.262	1397	1.686	33.262	28.238	1186	1.085	28.238	0.644	82.190	3452	2.120	82.190	24.929	1047	0.582	24.929	0.275
8	15.628	29.114	2300	1.543	39.143	35.524	1492	1.433	35.524	0.929	39.143	1644.000	2.074	39.143	35.524	1492	1.433	35.524	0.691	77.643	3261	2.027	77.643	29.857	1254	0.694	29.857	0.342
9	14.758	27.192	1985.000	1.477	34.333	40.786	1713	1.681	40.786	1.138	34.333	1442	1.864	34.333	40.786	1713	1.681	40.786	0.901	69.452	2917	1.825	69.452	35.429	1488	0.825	35.429	0.452
10	15.782	32.300	2584	1.764	39	31.024	1303	1.278	31.024	0.725	39	1638	2.130	39	31.024	1303	1.278	31.024	0.600	82.714	3474.000	2.211	82.714	26.381	1108	0.614	26.381	0.278
11	15.628	32	2496	1.689	36.333	32.071	1347	1.267	32.071	0.750	36.333	1526	1.918	36.333	32.071	1347	1.267	32.071	0.660	88.262	3707	2.329	88.262	24.190	1016	0.561	24.190	0.241
12	17.007	27.645	2101	1.555	18.357	28.310	1189	1.204	28.310	0.774	18.357	771	1.033	18.357	28.310	1189	1.204	28.310	1.166	71.143	2988	1.911	71.143	31.286	1314	0.724	31.286	0.379
13	14.960	22.897	1557	1.332	23.667	24.881	1045	1.098	24.881	0.825	23.667	994	1.376	23.667	24.881	1045	1.098	24.881	0.798	60.048	2522	1.638	60.048	22.833	959	0.530	22.833	0.324
14	20.262	28.476	2933	1.621	30.810	14.119	593	0.611	14.119	0.377	30.810	1294	1.754	30.810	14.119	593	0.611	14.119	0.348	74.452	3127	2.038	74.452	23.500	987	0.549	23.500	0.269
15	17.017	23.440	1969	1.302	24.143	21.905	920	0.920	21.905	0.707	24.143	1014	1.341	24.143	21.905	920	0.920	21.905	0.686	61.786	2595	1.677	61.786	28.571	1200	0.671	28.571	0.400
