Frame	Mem Length	A-CatApicalMean	A-CatApicalSum	A-CatApicalNorm	A-CatApicalVertices	ActinApicalMean	ActinApicalSum	ActinApicalNorm	ActinApicalVertices	ApicalRatio	A-CatMedialMean	A-CatMedialSum	A-CatMedialNorm	A-CatMedialVertices	ActinMedialMean	ActinMedialSum	ActinMedialNorm	ActinMedialVertices	MedialRatio	A-CatBasalMean	A-CatBasalSum	A-CatBasalNorm	A-CatBasalVertices	ActinBasalMean	ActinBasalSum	ActinBasalNorm	ActinBasalVertices	BasalRatio
1	15.168	22.458	1617	1.151	26.381	38.452	1615.000	1.458	38.452	1.267	26.381	1108	1.351	26.381	38.452	1615.000	1.458	38.452	1.079	37.095	1558	0.959	37.095	33.500	1407	0.766	33.500	0.799
2	14.885	26.814	1582	1.403	18.214	45	1890	1.758	45	1.253	18.214	765	0.953	18.214	45	1890	1.758	45	1.845	42.310	1777	1.108	42.310	35.429	1488	0.811	35.429	0.732
3	12.065	24.452	1516	1.294	33.286	54.881	2305	2.183	54.881	1.687	33.286	1398	1.761	33.286	54.881	2305	2.183	54.881	1.240	44.619	1874	1.170	44.619	43.381	1822	0.995	43.381	0.851
4	13.829	40.678	2400	2.039	39.690	60.905	2558	2.269	60.905	1.113	39.690	1667	1.990	39.690	60.905	2558	2.269	60.905	1.140	57.048	2396	1.462	57.048	39.571	1662	0.919	39.571	0.628
5	17.464	39.596	3524	2.029	43.405	55.405	2327	2.132	55.405	1.051	43.405	1823	2.224	43.405	55.405	2327	2.132	55.405	0.959	58.500	2457	1.514	58.500	34.071	1431	0.787	34.071	0.520
6	17.586	39.326	3500.000	2.072	35.452	44.738	1879	1.777	44.738	0.857	35.452	1489.000	1.868	35.452	44.738	1879	1.777	44.738	0.951	56.357	2367	1.469	56.357	27.381	1150	0.639	27.381	0.435
7	24.157	38.036	4222	1.928	33.452	52.905	2222	2.033	52.905	1.055	33.452	1405.000	1.695	33.452	52.905	2222	2.033	52.905	1.199	54.738	2299	1.412	54.738	38.167	1603	0.892	38.167	0.632
8	21.923	38.165	4160	2.023	50.833	61.762	2594	2.491	61.762	1.232	50.833	2135	2.694	50.833	61.762	2594	2.491	61.762	0.925	50.048	2102	1.306	50.048	31.595	1327	0.735	31.595	0.562
9	22.161	27.789	3029	1.509	32.762	41.333	1736	1.703	41.333	1.129	32.762	1376	1.779	32.762	41.333	1736	1.703	41.333	0.957	60.214	2529	1.582	60.214	31.667	1330	0.738	31.667	0.466
10	19.660	30.760	3076	1.680	30.405	47.762	2006	1.968	47.762	1.171	30.405	1277	1.660	30.405	47.762	2006	1.968	47.762	1.185	48.762	2048	1.303	48.762	38.690	1625	0.901	38.690	0.691
11	21.006	45.543	4281	2.404	40.738	48.500	2037	1.916	48.500	0.797	40.738	1711	2.151	40.738	48.500	2037	1.916	48.500	0.891	63.190	2654	1.667	63.190	44.214	1857	1.025	44.214	0.615
12	20.514	27.409	2549	1.542	27.143	64.024	2689	2.724	64.024	1.766	27.143	1140	1.527	27.143	64.024	2689	2.724	64.024	1.783	53.786	2259	1.445	53.786	52.571	2208	1.217	52.571	0.843
13	24.520	28.008	3361	1.629	33.500	61.476	2582	2.713	61.476	1.666	33.500	1407	1.948	33.500	61.476	2582	2.713	61.476	1.393	59	2478	1.610	59	46.262	1943	1.074	46.262	0.668
14	23.783	30.843	3331	1.756	40.905	78.262	3287	3.385	78.262	1.928	40.905	1718	2.328	40.905	78.262	3287	3.385	78.262	1.454	65.976	2771	1.806	65.976	40.071	1683	0.936	40.071	0.519
15	26.501	29.950	3624	1.663	33.286	63.048	2648	2.647	63.048	1.592	33.286	1398	1.848	33.286	63.048	2648	2.647	63.048	1.432	65.190	2738	1.769	65.190	40.452	1699.000	0.950	40.452	0.537
16	29.855	37.493	5624	2.029	46.643	47.143	1980.000	1.940	47.143	0.956	46.643	1959.000	2.524	46.643	47.143	1980.000	1.940	47.143	0.769	53.214	2235	1.441	53.214	35.786	1503	0.848	35.786	0.589
17	28.360	34.392	4471	1.977	45.952	45.929	1929	2.021	45.929	1.022	45.952	1930.000	2.642	45.952	45.929	1929	2.021	45.929	0.765	76.524	3214	2.125	76.524	36.119	1517	0.853	36.119	0.402
18	26.019	31.954	4154	1.834	39.833	48.405	2033	2.118	48.405	1.155	39.833	1673	2.287	39.833	48.405	2033	2.118	48.405	0.926	65.667	2758	1.828	65.667	30.667	1288	0.726	30.667	0.397
19	24.782	33.190	4182	1.868	36.690	36.976	1553	1.568	36.976	0.839	36.690	1541	2.065	36.690	36.976	1553	1.568	36.976	0.759	75.905	3188.000	2.092	75.905	27.595	1159	0.654	27.595	0.312
20	19.775	29.850	2388	1.717	30.500	44.952	1888.000	1.984	44.952	1.155	30.500	1281	1.754	30.500	44.952	1888.000	1.984	44.952	1.131	67.048	2816	1.871	67.048	24.500	1029	0.581	24.500	0.311
21	20.039	32.352	2944	1.898	20.286	42.262	1775	1.872	42.262	0.986	20.286	852	1.190	20.286	42.262	1775	1.872	42.262	1.573	61.214	2571	1.727	61.214	31.810	1336	0.749	31.810	0.434
22	13.558	28.132	1913	1.645	19.881	33.333	1400	1.499	33.333	0.911	19.881	835	1.163	19.881	33.333	1400	1.499	33.333	1.289	54.095	2272	1.526	54.095	31.690	1331	0.752	31.690	0.493
23	15.758	27.861	2006	1.623	29.024	37.929	1593	1.692	37.929	1.043	29.024	1219	1.690	29.024	37.929	1593	1.692	37.929	1.001	58.881	2473	1.663	58.881	25.190	1058	0.601	25.190	0.361
24	17.252	26.382	2005	1.509	26.119	32.214	1353	1.404	32.214	0.931	26.119	1097	1.494	26.119	32.214	1353	1.404	32.214	0.940	58.500	2457	1.646	58.500	29.833	1253	0.713	29.833	0.433
25	16.757	21.464	1803	1.304	28.619	30.286	1272	1.428	30.286	1.095	28.619	1202	1.738	28.619	30.286	1272	1.428	30.286	0.821	52.286	2196	1.505	52.286	31.143	1308	0.743	31.143	0.494
26	14.036	24.343	1704	1.517	27.571	38.190	1604	1.839	38.190	1.212	27.571	1158	1.719	27.571	38.190	1604	1.839	38.190	1.070	59.595	2503	1.754	59.595	37.262	1565	0.890	37.262	0.507
27	12.562	28.403	1761	1.680	26.690	39.238	1648	1.779	39.238	1.059	26.690	1121	1.579	26.690	39.238	1648	1.779	39.238	1.127	52	2184	1.490	52	27.905	1172	0.670	27.905	0.449
28	18.257	30.611	2755	1.839	32.976	48.095	2020	2.236	48.095	1.216	32.976	1385	1.981	32.976	48.095	2020	2.236	48.095	1.128	53.619	2252	1.557	53.619	29.929	1257	0.721	29.929	0.463
29	19.790	24.300	2187	1.494	28.333	61.214	2571	2.930	61.214	1.960	28.333	1190	1.742	28.333	61.214	2571	2.930	61.214	1.681	69.500	2919	2.075	69.500	35.143	1476.000	0.842	35.143	0.406
