Frame	Mem Length	A-CatApicalMean	A-CatApicalSum	A-CatApicalNorm	A-CatApicalVertices	ActinApicalMean	ActinApicalSum	ActinApicalNorm	ActinApicalVertices	ApicalRatio	A-CatMedialMean	A-CatMedialSum	A-CatMedialNorm	A-CatMedialVertices	ActinMedialMean	ActinMedialSum	ActinMedialNorm	ActinMedialVertices	MedialRatio	A-CatBasalMean	A-CatBasalSum	A-CatBasalNorm	A-CatBasalVertices	ActinBasalMean	ActinBasalSum	ActinBasalNorm	ActinBasalVertices	BasalRatio
1	10.078	37.167	2007.000	1.904	41.857	42.548	1787.000	1.613	42.548	0.847	41.857	1758.000	2.144	41.857	42.548	1787.000	1.613	42.548	0.752	59.738	2509	1.544	59.738	33.262	1397	0.761	33.262	0.493
2	8.696	33.881	1423	1.773	29.810	46.238	1942	1.806	46.238	1.019	29.810	1252	1.560	29.810	46.238	1942	1.806	46.238	1.158	70.024	2941	1.833	70.024	27.881	1171	0.638	27.881	0.348
3	9.062	42.814	1841	2.265	37.905	45.119	1895	1.795	45.119	0.792	37.905	1592	2.005	37.905	45.119	1895	1.795	45.119	0.895	76.190	3200	1.998	76.190	32.690	1373	0.750	32.690	0.375
4	10.770	30.037	1622	1.506	40.643	35.857	1506.000	1.336	35.857	0.887	40.643	1707.000	2.038	40.643	35.857	1506.000	1.336	35.857	0.656	74.071	3111	1.899	74.071	29.524	1240	0.685	29.524	0.361
5	8.310	37.721	1622	1.933	35.095	35.619	1496	1.371	35.619	0.709	35.095	1474	1.798	35.095	35.619	1496	1.371	35.619	0.762	68.500	2877	1.773	68.500	28.190	1184	0.652	28.190	0.368
6	9.763	25.635	1333	1.351	30.262	37.310	1567	1.482	37.310	1.097	30.262	1271	1.595	30.262	37.310	1567	1.482	37.310	0.929	59.667	2506	1.555	59.667	28.952	1216	0.675	28.952	0.434
7	6.933	30.590	1193	1.550	37.833	40.786	1713	1.567	40.786	1.011	37.833	1589	1.918	37.833	40.786	1713	1.567	40.786	0.817	54.476	2288	1.405	54.476	27.833	1169	0.650	27.833	0.463
8	12.522	38.117	2287	2.020	45	47.762	2006	1.927	47.762	0.954	45	1890	2.385	45	47.762	2006	1.927	47.762	0.808	49.500	2079	1.292	49.500	37.690	1583	0.876	37.690	0.678
9	9.618	29.500	1357	1.602	23.429	34.214	1437	1.410	34.214	0.880	23.429	984.000	1.272	23.429	34.214	1437	1.410	34.214	1.108	55.833	2345	1.467	55.833	29.810	1252	0.694	29.810	0.473
10	9.192	23.083	1108	1.260	31.905	32.024	1345	1.319	32.024	1.047	31.905	1340	1.742	31.905	32.024	1345	1.319	32.024	0.757	68.786	2889.000	1.839	68.786	29.952	1258	0.698	29.952	0.379
