Frame	Mem Length	A-CatApicalMean	A-CatApicalSum	A-CatApicalNorm	A-CatApicalVertices	ActinApicalMean	ActinApicalSum	ActinApicalNorm	ActinApicalVertices	ApicalRatio	A-CatMedialMean	A-CatMedialSum	A-CatMedialNorm	A-CatMedialVertices	ActinMedialMean	ActinMedialSum	ActinMedialNorm	ActinMedialVertices	MedialRatio	A-CatBasalMean	A-CatBasalSum	A-CatBasalNorm	A-CatBasalVertices	ActinBasalMean	ActinBasalSum	ActinBasalNorm	ActinBasalVertices	BasalRatio
1	15.766	32.590	2705	1.670	32.667	36.405	1529	1.380	36.405	0.827	32.667	1372	1.674	32.667	36.405	1529	1.380	36.405	0.825	84.643	3555	2.188	84.643	36.357	1527.000	0.832	36.357	0.380
2	14.368	23.404	1334	1.224	28.500	37.595	1579	1.469	37.595	1.199	28.500	1197	1.491	28.500	37.595	1579	1.469	37.595	0.985	91.595	3847.000	2.398	91.595	33.476	1406	0.766	33.476	0.320
3	13.683	19.397	1222	1.026	26.310	30.952	1300	1.231	30.952	1.200	26.310	1105	1.392	26.310	30.952	1300	1.231	30.952	0.884	72.524	3046	1.902	72.524	31.571	1326	0.724	31.571	0.381
4	13.703	24.298	1385	1.218	28.738	32.381	1360	1.206	32.381	0.990	28.738	1207	1.441	28.738	32.381	1360	1.206	32.381	0.837	72.024	3025	1.846	72.024	28.619	1202	0.664	28.619	0.360
5	15.348	22.074	1501	1.131	26.286	31.643	1329	1.218	31.643	1.077	26.286	1104	1.347	26.286	31.643	1329	1.218	31.643	0.904	82.524	3466	2.136	82.524	27.643	1161	0.639	27.643	0.299
6	22.023	20.705	1822	1.091	22.048	26.119	1097	1.037	26.119	0.951	22.048	926	1.162	22.048	26.119	1097	1.037	26.119	0.893	78.571	3300	2.048	78.571	25.571	1074	0.596	25.571	0.291
7	21.398	17.103	1659	0.867	33.881	34.476	1448	1.325	34.476	1.528	33.881	1423	1.717	33.881	34.476	1448	1.325	34.476	0.772	82.762	3476	2.134	82.762	34.048	1430.000	0.795	34.048	0.373
8	23.343	24.544	2528	1.301	24.214	35.024	1471	1.413	35.024	1.086	24.214	1017	1.283	24.214	35.024	1471	1.413	35.024	1.101	80.190	3368	2.093	80.190	42.095	1768	0.979	42.095	0.468
9	20.069	32.433	2919.000	1.761	38	29.833	1253	1.229	29.833	0.698	38	1596	2.064	38	29.833	1253	1.229	29.833	0.596	94.024	3949	2.471	94.024	44.929	1887	1.047	44.929	0.424
10	22.755	26.357	2952	1.439	28.833	36.905	1550	1.520	36.905	1.056	28.833	1211	1.574	28.833	36.905	1550	1.520	36.905	0.966	99.619	4184	2.663	99.619	40.500	1701	0.943	40.500	0.354
11	22.423	27.378	2464	1.445	31.333	33.262	1397	1.314	33.262	0.909	31.333	1316	1.654	31.333	33.262	1397	1.314	33.262	0.794	76.357	3207	2.015	76.357	49.167	2065	1.140	49.167	0.566
12	18.714	22.964	1929	1.292	20.500	24.262	1019	1.032	24.262	0.799	20.500	861	1.153	20.500	24.262	1019	1.032	24.262	0.895	77.714	3264.000	2.088	77.714	38.786	1629	0.898	38.786	0.430
13	19.359	21.382	1625	1.243	27.167	28.119	1181	1.241	28.119	0.998	27.167	1141	1.580	27.167	28.119	1181	1.241	28.119	0.785	68.429	2874	1.867	68.429	40.619	1706	0.943	40.619	0.505
14	18.442	17.745	1668	1.010	22.905	26.119	1097	1.130	26.119	1.118	22.905	962	1.304	22.905	26.119	1097	1.130	26.119	0.866	80.071	3363	2.192	80.071	40.810	1714	0.954	40.810	0.435
15	23.419	16.731	1991	0.929	20.548	23.095	970	0.970	23.095	1.044	20.548	863	1.141	20.548	23.095	970	0.970	23.095	0.850	83.238	3496	2.259	83.238	32.476	1364	0.762	32.476	0.338
16	19.336	19.395	1668	1.050	19.262	20.643	867	0.850	20.643	0.809	19.262	809	1.042	19.262	20.643	867	0.850	20.643	0.815	93.762	3938	2.539	93.762	38.048	1598.000	0.902	38.048	0.355
17	16.697	20.837	1792.000	1.198	18.929	21.905	920	0.964	21.905	0.805	18.929	795.000	1.088	18.929	21.905	920	0.964	21.905	0.886	57.476	2414	1.596	57.476	33.857	1422.000	0.800	33.857	0.501
18	18.345	13.358	1082	0.767	21.595	24.119	1013	1.055	24.119	1.376	21.595	907	1.240	21.595	24.119	1013	1.055	24.119	0.851	68.595	2881.000	1.909	68.595	34.643	1455.000	0.820	34.643	0.429
